gene,species,genome_size_mb,ploidy,n_guides,total_ot,genic_ot,intergenic_ot,unannotated_ot,fraction_genic,total_ot_per_guide,genic_ot_per_guide,intergenic_ot_per_guide
ACT1,Solanum tuberosum,1653,tetraploid,8,357,113,244,0,0.3165,44.62,14.12,30.5
ACT1,Sorghum bicolor,709,diploid,11,335,155,180,0,0.4627,30.45,14.09,16.36
ACT1,Spinacia oleracea,989,diploid,7,137,74,63,0,0.5401,19.57,10.57,9.0
ACT1,Thlaspi arvense,539,diploid,9,152,80,72,0,0.5263,16.89,8.89,8.0
ACT1,Vicia faba,11900,diploid,7,10716,98,10618,0,0.0091,1530.86,14.0,1516.86
ACT1,Vigna unguiculata,641,diploid,7,220,71,149,0,0.3227,31.43,10.14,21.29
ACT1,Vitis vinifera,486,diploid,7,351,135,216,0,0.3846,50.14,19.29,30.86
ACT1,Zea mays,2500,diploid,11,2390,324,2066,0,0.1356,217.27,29.45,187.82
APT3,Aegilops tauschii,4200,diploid,8,931,91,840,0,0.0977,116.38,11.38,105.0
APT3,Arabidopsis thaliana,135,diploid,6,79,58,21,0,0.7342,13.17,9.67,3.5
APT3,Asparagus officinalis,1200,diploid,10,1392,190,1202,0,0.1365,139.2,19.0,120.2
APT3,Beta vulgaris,558,diploid,4,122,31,91,0,0.2541,30.5,7.75,22.75
APT3,Brachypodium distachyon,355,diploid,8,108,50,58,0,0.463,13.5,6.25,7.25
APT3,Brassica napus,976,tetraploid,4,340,130,210,0,0.3824,85.0,32.5,52.5
APT3,Brassica rapa,353,diploid,4,122,73,49,0,0.5984,30.5,18.25,12.25
APT3,Camelina sativa,785,hexaploid,5,599,140,459,0,0.2337,119.8,28.0,91.8
APT3,Ceratopteris richardii,7400,diploid,9,2316,132,2184,0,0.057,257.33,14.67,242.67
APT3,Chenopodium quinoa,1300,tetraploid,3,153,39,114,0,0.2549,51.0,13.0,38.0
APT3,Cicer arietinum,740,diploid,8,128,52,76,0,0.4062,16.0,6.5,9.5
APT3,Coffea canephora,569,diploid,6,174,53,121,0,0.3046,29.0,8.83,20.17
APT3,Corylus avellana,378,diploid,7,263,58,205,0,0.2205,37.57,8.29,29.29
APT3,Cucumis sativus,367,diploid,5,71,35,36,0,0.493,14.2,7.0,7.2
APT3,Daucus carota,430,diploid,4,124,50,74,0,0.4032,31.0,12.5,18.5
APT3,Eleusine coracana,1100,tetraploid,14,1267,368,899,0,0.2904,90.5,26.29,64.21
APT3,Eruca vesicaria,851,diploid,4,302,10,292,0,0.0331,75.5,2.5,73.0
APT3,Fragaria ananassa,806,octoploid,8,345,180,165,0,0.5217,43.12,22.5,20.62
APT3,Glycine max,1115,diploid,7,363,99,264,0,0.2727,51.86,14.14,37.71
APT3,Gossypium hirsutum,2300,tetraploid,6,647,120,527,0,0.1855,107.83,20.0,87.83
APT3,Helianthus annuus,3000,diploid,6,1176,89,1087,0,0.0757,196.0,14.83,181.17
APT3,Hordeum vulgare,5100,diploid,9,775,67,708,0,0.0865,86.11,7.44,78.67
APT3,Lactuca sativa,2600,diploid,8,355,40,315,0,0.1127,44.38,5.0,39.38
APT3,Lotus japonicus,554,diploid,8,208,76,132,0,0.3654,26.0,9.5,16.5
APT3,Lupinus angustifolius,924,diploid,6,281,69,212,0,0.2456,46.83,11.5,35.33
APT3,Malus domestica,703,diploid,9,561,167,394,0,0.2977,62.33,18.56,43.78
APT3,Manihot esculenta,750,diploid,7,42,27,15,0,0.6429,6.0,3.86,2.14
APT3,Miscanthus sinensis,2080,diploid,11,2477,155,2322,0,0.0626,225.18,14.09,211.09
APT3,Musa acuminata,523,diploid,14,332,178,154,0,0.5361,23.71,12.71,11.0
APT3,Panicum miliaceum,835,diploid,9,408,72,336,0,0.1765,45.33,8.0,37.33
APT3,Paspalum notatum,513,diploid,7,421,65,356,0,0.1544,60.14,9.29,50.86
APT3,Phaseolus vulgaris,530,diploid,6,121,37,84,0,0.3058,20.17,6.17,14.0
APT3,Pisum sativum,4450,diploid,7,2915,38,2877,0,0.013,416.43,5.43,411.0
APT3,Populus deltoides,425,diploid,6,232,82,150,0,0.3534,38.67,13.67,25.0
APT3,Populus trichocarpa,480,diploid,6,174,68,106,0,0.3908,29.0,11.33,17.67
APT3,Prunus persica,272,diploid,8,424,76,348,0,0.1792,53.0,9.5,43.5
APT3,Rubus occidentalis,240,diploid,10,236,96,140,0,0.4068,23.6,9.6,14.0
APT3,Setaria viridis,397,diploid,9,189,64,125,0,0.3386,21.0,7.11,13.89
APT3,Solanum lycopersicum,824,diploid,5,815,115,700,0,0.1411,163.0,23.0,140.0
APT3,Solanum tuberosum,1653,tetraploid,5,884,131,753,0,0.1482,176.8,26.2,150.6
APT3,Sorghum bicolor,709,diploid,11,488,145,343,0,0.2971,44.36,13.18,31.18
APT3,Spinacia oleracea,989,diploid,4,72,23,49,0,0.3194,18.0,5.75,12.25
APT3,Thlaspi arvense,539,diploid,6,142,38,104,0,0.2676,23.67,6.33,17.33
APT3,Vicia faba,11900,diploid,5,1254,13,1241,0,0.0104,250.8,2.6,248.2
APT3,Vigna unguiculata,641,diploid,7,167,43,124,0,0.2575,23.86,6.14,17.71
APT3,Vitis vinifera,486,diploid,6,242,94,148,0,0.3884,40.33,15.67,24.67
APT3,Zea mays,2500,diploid,12,758,135,623,0,0.1781,63.17,11.25,51.92
EF1a,Aegilops tauschii,4200,diploid,15,2415,317,2098,0,0.1313,161.0,21.13,139.87
EF1a,Arabidopsis thaliana,135,diploid,12,93,81,12,0,0.871,7.75,6.75,1.0
EF1a,Asparagus officinalis,1200,diploid,14,362,77,285,0,0.2127,25.86,5.5,20.36
EF1a,Beta vulgaris,558,diploid,12,398,136,262,0,0.3417,33.17,11.33,21.83
EF1a,Brachypodium distachyon,355,diploid,15,308,177,131,0,0.5747,20.53,11.8,8.73
EF1a,Brassica napus,976,tetraploid,13,662,453,209,0,0.6843,50.92,34.85,16.08
EF1a,Brassica rapa,353,diploid,10,225,170,55,0,0.7556,22.5,17.0,5.5
EF1a,Camelina sativa,785,hexaploid,11,535,311,224,0,0.5813,48.64,28.27,20.36
EF1a,Ceratopteris richardii,7400,diploid,12,2507,204,2303,0,0.0814,208.92,17.0,191.92
EF1a,Chenopodium quinoa,1300,tetraploid,11,459,215,244,0,0.4684,41.73,19.55,22.18
EF1a,Cicer arietinum,740,diploid,11,178,131,47,0,0.736,16.18,11.91,4.27
EF1a,Coffea canephora,569,diploid,15,273,82,191,0,0.3004,18.2,5.47,12.73
EF1a,Corylus avellana,378,diploid,15,264,149,115,0,0.5644,17.6,9.93,7.67
EF1a,Cucumis sativus,367,diploid,9,70,45,25,0,0.6429,7.78,5.0,2.78
EF1a,Daucus carota,430,diploid,11,170,104,66,0,0.6118,15.45,9.45,6.0
EF1a,Eleusine coracana,1100,tetraploid,11,571,241,330,0,0.4221,51.91,21.91,30.0
EF1a,Eruca vesicaria,851,diploid,12,2188,73,2115,0,0.0334,182.33,6.08,176.25
EF1a,Fragaria ananassa,806,octoploid,14,707,347,360,0,0.4908,50.5,24.79,25.71
EF1a,Glycine max,1115,diploid,12,692,160,532,0,0.2312,57.67,13.33,44.33
EF1a,Gossypium hirsutum,2300,tetraploid,13,970,286,684,0,0.2948,74.62,22.0,52.62
EF1a,Helianthus annuus,3000,diploid,12,1580,144,1436,0,0.0911,131.67,12.0,119.67
EF1a,Hordeum vulgare,5100,diploid,14,5783,277,5506,0,0.0479,413.07,19.79,393.29
EF1a,Lactuca sativa,2600,diploid,7,1419,94,1325,0,0.0662,202.71,13.43,189.29
EF1a,Lotus japonicus,554,diploid,10,222,124,98,0,0.5586,22.2,12.4,9.8
EF1a,Lupinus angustifolius,924,diploid,10,375,137,238,0,0.3653,37.5,13.7,23.8
EF1a,Malus domestica,703,diploid,14,350,175,175,0,0.5,25.0,12.5,12.5
EF1a,Manihot esculenta,750,diploid,14,386,142,244,0,0.3679,27.57,10.14,17.43
EF1a,Miscanthus sinensis,2080,diploid,14,2707,482,2225,0,0.1781,193.36,34.43,158.93
EF1a,Musa acuminata,523,diploid,13,357,187,170,0,0.5238,27.46,14.38,13.08
EF1a,Panicum miliaceum,835,diploid,13,682,254,428,0,0.3724,52.46,19.54,32.92
EF1a,Paspalum notatum,513,diploid,13,656,195,461,0,0.2973,50.46,15.0,35.46
EF1a,Phaseolus vulgaris,530,diploid,14,296,81,215,0,0.2736,21.14,5.79,15.36
EF1a,Pisum sativum,4450,diploid,8,7377,59,7318,0,0.008,922.12,7.38,914.75
EF1a,Populus deltoides,425,diploid,17,275,178,97,0,0.6473,16.18,10.47,5.71
EF1a,Populus trichocarpa,480,diploid,16,267,169,98,0,0.633,16.69,10.56,6.12
EF1a,Prunus persica,272,diploid,15,221,130,91,0,0.5882,14.73,8.67,6.07
EF1a,Rubus occidentalis,240,diploid,11,174,113,61,0,0.6494,15.82,10.27,5.55
EF1a,Setaria viridis,397,diploid,14,381,227,154,0,0.5958,27.21,16.21,11.0
EF1a,Solanum lycopersicum,824,diploid,13,371,105,266,0,0.283,28.54,8.08,20.46
EF1a,Solanum tuberosum,1653,tetraploid,8,357,79,278,0,0.2213,44.62,9.88,34.75
EF1a,Sorghum bicolor,709,diploid,16,386,205,181,0,0.5311,24.12,12.81,11.31
EF1a,Spinacia oleracea,989,diploid,11,438,165,273,0,0.3767,39.82,15.0,24.82
EF1a,Thlaspi arvense,539,diploid,12,265,47,218,0,0.1774,22.08,3.92,18.17
EF1a,Vicia faba,11900,diploid,9,14973,80,14893,0,0.0053,1663.67,8.89,1654.78
EF1a,Vigna unguiculata,641,diploid,11,224,83,141,0,0.3705,20.36,7.55,12.82
EF1a,Vitis vinifera,486,diploid,13,405,191,214,0,0.4716,31.15,14.69,16.46
EF1a,Zea mays,2500,diploid,13,1231,308,923,0,0.2502,94.69,23.69,71.0
HSP70,Aegilops tauschii,4200,diploid,8,9673,758,8915,0,0.0784,1209.12,94.75,1114.38
HSP70,Arabidopsis thaliana,135,diploid,5,120,106,14,0,0.8833,24.0,21.2,2.8
HSP70,Asparagus officinalis,1200,diploid,6,1245,201,1044,0,0.1614,207.5,33.5,174.0
HSP70,Beta vulgaris,558,diploid,8,318,122,196,0,0.3836,39.75,15.25,24.5
HSP70,Brachypodium distachyon,355,diploid,10,660,391,269,0,0.5924,66.0,39.1,26.9
HSP70,Brassica napus,976,tetraploid,4,688,414,274,0,0.6017,172.0,103.5,68.5
HSP70,Brassica rapa,353,diploid,4,233,198,35,0,0.8498,58.25,49.5,8.75
HSP70,Camelina sativa,785,hexaploid,5,621,320,301,0,0.5153,124.2,64.0,60.2
HSP70,Ceratopteris richardii,7400,diploid,1,0,0,0,0,0.0,0.0,0.0,0.0
HSP70,Chenopodium quinoa,1300,tetraploid,3,514,164,350,0,0.3191,171.33,54.67,116.67
HSP70,Cicer arietinum,740,diploid,5,370,125,245,0,0.3378,74.0,25.0,49.0
HSP70,Coffea canephora,569,diploid,3,228,90,138,0,0.3947,76.0,30.0,46.0
HSP70,Corylus avellana,378,diploid,7,267,147,120,0,0.5506,38.14,21.0,17.14
HSP70,Cucumis sativus,367,diploid,4,145,70,75,0,0.4828,36.25,17.5,18.75
HSP70,Daucus carota,430,diploid,5,230,126,104,0,0.5478,46.0,25.2,20.8
HSP70,Eleusine coracana,1100,tetraploid,6,2806,533,2273,0,0.19,467.67,88.83,378.83
HSP70,Eruca vesicaria,851,diploid,5,946,60,886,0,0.0634,189.2,12.0,177.2
HSP70,Fragaria ananassa,806,octoploid,5,735,482,253,0,0.6558,147.0,96.4,50.6
HSP70,Glycine max,1115,diploid,5,656,217,439,0,0.3308,131.2,43.4,87.8
HSP70,Gossypium hirsutum,2300,tetraploid,2,699,174,525,0,0.2489,349.5,87.0,262.5
HSP70,Helianthus annuus,3000,diploid,6,2762,146,2616,0,0.0529,460.33,24.33,436.0
HSP70,Hordeum vulgare,5100,diploid,9,3682,112,3570,0,0.0304,409.11,12.44,396.67
HSP70,Lactuca sativa,2600,diploid,6,2084,174,1910,0,0.0835,347.33,29.0,318.33
HSP70,Lotus japonicus,554,diploid,4,1047,311,736,0,0.297,261.75,77.75,184.0
HSP70,Lupinus angustifolius,924,diploid,6,506,175,331,0,0.3458,84.33,29.17,55.17
HSP70,Malus domestica,703,diploid,6,266,89,177,0,0.3346,44.33,14.83,29.5
HSP70,Manihot esculenta,750,diploid,5,641,181,460,0,0.2824,128.2,36.2,92.0
HSP70,Miscanthus sinensis,2080,diploid,8,5406,1175,4231,0,0.2174,675.75,146.88,528.88
HSP70,Musa acuminata,523,diploid,4,336,154,182,0,0.4583,84.0,38.5,45.5
HSP70,Panicum miliaceum,835,diploid,8,2815,1053,1762,0,0.3741,351.88,131.62,220.25
HSP70,Paspalum notatum,513,diploid,9,742,315,427,0,0.4245,82.44,35.0,47.44
HSP70,Phaseolus vulgaris,530,diploid,7,571,204,367,0,0.3573,81.57,29.14,52.43
HSP70,Pisum sativum,4450,diploid,4,2892,91,2801,0,0.0315,723.0,22.75,700.25
HSP70,Populus deltoides,425,diploid,5,161,105,56,0,0.6522,32.2,21.0,11.2
HSP70,Populus trichocarpa,480,diploid,5,188,94,94,0,0.5,37.6,18.8,18.8
HSP70,Prunus persica,272,diploid,6,146,69,77,0,0.4726,24.33,11.5,12.83
HSP70,Rubus occidentalis,240,diploid,10,1401,857,544,0,0.6117,140.1,85.7,54.4
HSP70,Setaria viridis,397,diploid,6,1020,347,673,0,0.3402,170.0,57.83,112.17
HSP70,Solanum lycopersicum,824,diploid,7,644,110,534,0,0.1708,92.0,15.71,76.29
HSP70,Solanum tuberosum,1653,tetraploid,9,938,188,750,0,0.2004,104.22,20.89,83.33
HSP70,Sorghum bicolor,709,diploid,8,4304,826,3478,0,0.1919,538.0,103.25,434.75
HSP70,Spinacia oleracea,989,diploid,4,952,135,817,0,0.1418,238.0,33.75,204.25
HSP70,Thlaspi arvense,539,diploid,5,606,97,509,0,0.1601,121.2,19.4,101.8
HSP70,Vicia faba,11900,diploid,4,4066,78,3988,0,0.0192,1016.5,19.5,997.0
HSP70,Vigna unguiculata,641,diploid,8,589,178,411,0,0.3022,73.62,22.25,51.38
HSP70,Vitis vinifera,486,diploid,7,447,214,233,0,0.4787,63.86,30.57,33.29
HSP70,Zea mays,2500,diploid,7,4577,716,3861,0,0.1564,653.86,102.29,551.57
TUBA1,Aegilops tauschii,4200,diploid,14,6764,753,6011,0,0.1113,483.14,53.79,429.36
TUBA1,Arabidopsis thaliana,135,diploid,11,150,117,33,0,0.78,13.64,10.64,3.0
TUBA1,Asparagus officinalis,1200,diploid,13,788,262,526,0,0.3325,60.62,20.15,40.46
TUBA1,Beta vulgaris,558,diploid,6,346,133,213,0,0.3844,57.67,22.17,35.5
TUBA1,Brachypodium distachyon,355,diploid,11,230,126,104,0,0.5478,20.91,11.45,9.45
TUBA1,Brassica napus,976,tetraploid,9,1838,897,941,0,0.488,204.22,99.67,104.56
TUBA1,Brassica rapa,353,diploid,10,585,390,195,0,0.6667,58.5,39.0,19.5
TUBA1,Camelina sativa,785,hexaploid,13,774,468,306,0,0.6047,59.54,36.0,23.54
TUBA1,Ceratopteris richardii,7400,diploid,14,15333,683,14650,0,0.0445,1095.21,48.79,1046.43
TUBA1,Chenopodium quinoa,1300,tetraploid,6,974,450,524,0,0.462,162.33,75.0,87.33
TUBA1,Cicer arietinum,740,diploid,6,322,150,172,0,0.4658,53.67,25.0,28.67
TUBA1,Coffea canephora,569,diploid,11,256,104,152,0,0.4062,23.27,9.45,13.82
TUBA1,Corylus avellana,378,diploid,10,381,156,225,0,0.4094,38.1,15.6,22.5
TUBA1,Cucumis sativus,367,diploid,13,186,133,53,0,0.7151,14.31,10.23,4.08
TUBA1,Daucus carota,430,diploid,9,273,153,120,0,0.5604,30.33,17.0,13.33
TUBA1,Eleusine coracana,1100,tetraploid,11,799,192,607,0,0.2403,72.64,17.45,55.18
TUBA1,Eruca vesicaria,851,diploid,8,941,85,856,0,0.0903,117.62,10.62,107.0
TUBA1,Fragaria ananassa,806,octoploid,9,1003,625,378,0,0.6231,111.44,69.44,42.0
TUBA1,Glycine max,1115,diploid,13,1354,409,945,0,0.3021,104.15,31.46,72.69
TUBA1,Gossypium hirsutum,2300,tetraploid,7,1802,445,1357,0,0.2469,257.43,63.57,193.86
TUBA1,Helianthus annuus,3000,diploid,10,2493,273,2220,0,0.1095,249.3,27.3,222.0
TUBA1,Hordeum vulgare,5100,diploid,15,13957,650,13307,0,0.0466,930.47,43.33,887.13
TUBA1,Lactuca sativa,2600,diploid,7,1710,243,1467,0,0.1421,244.29,34.71,209.57
TUBA1,Lotus japonicus,554,diploid,9,740,279,461,0,0.377,82.22,31.0,51.22
TUBA1,Lupinus angustifolius,924,diploid,11,585,200,385,0,0.3419,53.18,18.18,35.0
TUBA1,Malus domestica,703,diploid,10,780,249,531,0,0.3192,78.0,24.9,53.1
TUBA1,Manihot esculenta,750,diploid,9,458,234,224,0,0.5109,50.89,26.0,24.89
TUBA1,Miscanthus sinensis,2080,diploid,13,2255,357,1898,0,0.1583,173.46,27.46,146.0
TUBA1,Musa acuminata,523,diploid,16,443,300,143,0,0.6772,27.69,18.75,8.94
TUBA1,Panicum miliaceum,835,diploid,16,1692,642,1050,0,0.3794,105.75,40.12,65.62
TUBA1,Paspalum notatum,513,diploid,15,1130,372,758,0,0.3292,75.33,24.8,50.53
TUBA1,Phaseolus vulgaris,530,diploid,11,325,116,209,0,0.3569,29.55,10.55,19.0
TUBA1,Pisum sativum,4450,diploid,10,2879,142,2737,0,0.0493,287.9,14.2,273.7
TUBA1,Populus deltoides,425,diploid,12,764,263,501,0,0.3442,63.67,21.92,41.75
TUBA1,Populus trichocarpa,480,diploid,12,636,237,399,0,0.3726,53.0,19.75,33.25
TUBA1,Prunus persica,272,diploid,9,247,149,98,0,0.6032,27.44,16.56,10.89
TUBA1,Rubus occidentalis,240,diploid,16,463,176,287,0,0.3801,28.94,11.0,17.94
TUBA1,Setaria viridis,397,diploid,12,388,141,247,0,0.3634,32.33,11.75,20.58
TUBA1,Solanum lycopersicum,824,diploid,9,774,126,648,0,0.1628,86.0,14.0,72.0
TUBA1,Solanum tuberosum,1653,tetraploid,7,529,158,371,0,0.2987,75.57,22.57,53.0
TUBA1,Sorghum bicolor,709,diploid,13,680,189,491,0,0.2779,52.31,14.54,37.77
TUBA1,Spinacia oleracea,989,diploid,8,507,172,335,0,0.3393,63.38,21.5,41.88
TUBA1,Thlaspi arvense,539,diploid,9,515,145,370,0,0.2816,57.22,16.11,41.11
TUBA1,Vicia faba,11900,diploid,9,9474,112,9362,0,0.0118,1052.67,12.44,1040.22
TUBA1,Vigna unguiculata,641,diploid,14,845,235,610,0,0.2781,60.36,16.79,43.57
TUBA1,Vitis vinifera,486,diploid,7,341,170,171,0,0.4985,48.71,24.29,24.43
TUBA1,Zea mays,2500,diploid,14,3925,248,3677,0,0.0632,280.36,17.71,262.64
Histone H4,Aegilops tauschii,4200,diploid,11,14102,1277,12825,0,0.0906,1282.0,116.09,1165.91
Histone H4,Arabidopsis thaliana,135,diploid,6,48,46,2,0,0.9583,8.0,7.67,0.33
Histone H4,Asparagus officinalis,1200,diploid,12,1068,144,924,0,0.1348,89.0,12.0,77.0
Histone H4,Beta vulgaris,558,diploid,3,100,40,60,0,0.4,33.33,13.33,20.0
Histone H4,Brachypodium distachyon,355,diploid,10,918,658,260,0,0.7168,91.8,65.8,26.0
Histone H4,Brassica napus,976,tetraploid,6,815,560,255,0,0.6871,135.83,93.33,42.5
Histone H4,Brassica rapa,353,diploid,6,234,153,81,0,0.6538,39.0,25.5,13.5
Histone H4,Camelina sativa,785,hexaploid,7,211,166,45,0,0.7867,30.14,23.71,6.43
Histone H4,Ceratopteris richardii,7400,diploid,7,806,160,646,0,0.1985,115.14,22.86,92.29
Histone H4,Chenopodium quinoa,1300,tetraploid,3,44,28,16,0,0.6364,14.67,9.33,5.33
Histone H4,Cicer arietinum,740,diploid,4,51,33,18,0,0.6471,12.75,8.25,4.5
Histone H4,Coffea canephora,569,diploid,9,75,37,38,0,0.4933,8.33,4.11,4.22
Histone H4,Corylus avellana,378,diploid,5,66,42,24,0,0.6364,13.2,8.4,4.8
Histone H4,Cucumis sativus,367,diploid,6,151,94,57,0,0.6225,25.17,15.67,9.5
Histone H4,Daucus carota,430,diploid,7,125,100,25,0,0.8,17.86,14.29,3.57
Histone H4,Eleusine coracana,1100,tetraploid,12,2380,1114,1266,0,0.4681,198.33,92.83,105.5
Histone H4,Eruca vesicaria,851,diploid,4,94,21,73,0,0.2234,23.5,5.25,18.25
Histone H4,Fragaria ananassa,806,octoploid,6,315,173,142,0,0.5492,52.5,28.83,23.67
Histone H4,Glycine max,1115,diploid,7,235,110,125,0,0.4681,33.57,15.71,17.86
Histone H4,Gossypium hirsutum,2300,tetraploid,9,599,210,389,0,0.3506,66.56,23.33,43.22
Histone H4,Helianthus annuus,3000,diploid,7,510,157,353,0,0.3078,72.86,22.43,50.43
Histone H4,Hordeum vulgare,5100,diploid,12,7102,1551,5551,0,0.2184,591.83,129.25,462.58
Histone H4,Lactuca sativa,2600,diploid,7,517,138,379,0,0.2669,73.86,19.71,54.14
Histone H4,Lotus japonicus,554,diploid,10,177,87,90,0,0.4915,17.7,8.7,9.0
Histone H4,Lupinus angustifolius,924,diploid,3,305,77,228,0,0.2525,101.67,25.67,76.0
Histone H4,Malus domestica,703,diploid,9,595,85,510,0,0.1429,66.11,9.44,56.67
Histone H4,Manihot esculenta,750,diploid,7,53,29,24,0,0.5472,7.57,4.14,3.43
Histone H4,Miscanthus sinensis,2080,diploid,10,4483,1190,3293,0,0.2654,448.3,119.0,329.3
Histone H4,Musa acuminata,523,diploid,8,142,110,32,0,0.7746,17.75,13.75,4.0
Histone H4,Panicum miliaceum,835,diploid,10,2315,1238,1077,0,0.5348,231.5,123.8,107.7
Histone H4,Paspalum notatum,513,diploid,12,1751,801,950,0,0.4575,145.92,66.75,79.17
Histone H4,Phaseolus vulgaris,530,diploid,7,117,35,82,0,0.2991,16.71,5.0,11.71
Histone H4,Pisum sativum,4450,diploid,6,678,64,614,0,0.0944,113.0,10.67,102.33
Histone H4,Populus deltoides,425,diploid,4,45,37,8,0,0.8222,11.25,9.25,2.0
Histone H4,Populus trichocarpa,480,diploid,4,45,36,9,0,0.8,11.25,9.0,2.25
Histone H4,Prunus persica,272,diploid,7,129,64,65,0,0.4961,18.43,9.14,9.29
Histone H4,Rubus occidentalis,240,diploid,9,105,38,67,0,0.3619,11.67,4.22,7.44
Histone H4,Setaria viridis,397,diploid,12,1280,759,521,0,0.593,106.67,63.25,43.42
Histone H4,Solanum lycopersicum,824,diploid,5,104,65,39,0,0.625,20.8,13.0,7.8
Histone H4,Solanum tuberosum,1653,tetraploid,5,107,53,54,0,0.4953,21.4,10.6,10.8
Histone H4,Sorghum bicolor,709,diploid,12,1818,876,942,0,0.4818,151.5,73.0,78.5
Histone H4,Spinacia oleracea,989,diploid,6,96,48,48,0,0.5,16.0,8.0,8.0
Histone H4,Thlaspi arvense,539,diploid,10,143,60,83,0,0.4196,14.3,6.0,8.3
Histone H4,Vicia faba,11900,diploid,3,306,52,254,0,0.1699,102.0,17.33,84.67
Histone H4,Vigna unguiculata,641,diploid,4,74,42,32,0,0.5676,18.5,10.5,8.0
Histone H4,Vitis vinifera,486,diploid,8,106,68,38,0,0.6415,13.25,8.5,4.75
Histone H4,Zea mays,2500,diploid,9,1674,466,1208,0,0.2784,186.0,51.78,134.22
EF-Tu,Aegilops tauschii,4200,diploid,9,1335,124,1211,0,0.0929,148.33,13.78,134.56
EF-Tu,Arabidopsis thaliana,135,diploid,6,25,20,5,0,0.8,4.17,3.33,0.83
EF-Tu,Asparagus officinalis,1200,diploid,7,528,125,403,0,0.2367,75.43,17.86,57.57
