gene,species,genome_size_mb,ploidy,found_in_genome,needs_manual_recovery,n_guides,ot_total,ot_per_guide,ot_mm0,ot_mm1,ot_mm2,ot_mm3,ot_mm4,ot_genic,ot_intergenic
ACT1,Spinacia oleracea,989,diploid,True,False,1,1,1.0,0,0,0,0,1,1,0
ACT1,Thlaspi arvense,539,diploid,True,False,2,19,9.5,3,2,4,8,2,17,2
ACT1,Vicia faba,11900,diploid,True,False,3,60,20.0,0,0,2,3,55,6,54
ACT1,Vigna unguiculata,641,diploid,True,False,2,3,1.5,0,0,0,1,2,3,0
APT3,Aegilops tauschii,4200,diploid,True,False,3,9,3.0,0,0,0,1,8,0,9
APT3,Arabidopsis thaliana,135,diploid,True,False,4,3,0.75,0,0,0,0,3,3,0
APT3,Asparagus officinalis,1200,diploid,True,False,2,0,0.0,0,0,0,0,0,0,0
APT3,Beta vulgaris,558,diploid,True,False,5,1,0.2,0,0,0,0,1,1,0
APT3,Brachypodium distachyon,355,diploid,True,False,3,0,0.0,0,0,0,0,0,0,0
APT3,Brassica napus,976,tetraploid,True,False,4,11,2.75,0,0,2,4,5,4,7
APT3,Brassica rapa,353,diploid,True,False,4,3,0.75,0,0,0,0,3,2,1
APT3,Camelina sativa,785,hexaploid,True,False,5,22,4.4,10,0,3,3,6,20,2
APT3,Ceratopteris richardii,7400,diploid,True,False,1,4,4.0,2,0,0,0,2,2,2
APT3,Chenopodium quinoa,1300,tetraploid,True,False,4,10,2.5,0,3,1,1,5,6,4
APT3,Cicer arietinum,740,diploid,True,False,4,3,0.75,0,1,1,0,1,3,0
APT3,Coffea canephora,569,diploid,True,False,7,2,0.29,0,0,0,0,2,0,2
APT3,Corylus avellana,378,diploid,True,False,4,1,0.25,0,0,0,0,1,0,1
APT3,Cucumis sativus,367,diploid,True,False,4,3,0.75,0,0,0,1,2,3,0
APT3,Daucus carota,430,diploid,True,False,5,8,1.6,0,1,0,1,6,4,4
APT3,Eleusine coracana,1100,tetraploid,True,False,3,5,1.67,2,1,0,0,2,4,1
APT3,Eruca vesicaria,851,diploid,True,False,4,9,2.25,1,3,0,0,5,0,9
APT3,Fragaria ananassa,806,octoploid,True,False,4,13,3.25,11,1,0,0,1,12,1
APT3,Glycine max,1115,diploid,True,False,4,27,6.75,2,11,9,1,4,13,14
APT3,Gossypium hirsutum,2300,tetraploid,True,False,5,17,3.4,5,0,0,0,12,8,9
APT3,Helianthus annuus,3000,diploid,True,False,3,16,5.33,1,3,4,4,4,7,9
APT3,Hordeum vulgare,5100,diploid,True,False,3,3,1.0,3,0,0,0,0,0,3
APT3,Lactuca sativa,2600,diploid,True,False,3,4,1.33,0,0,1,0,3,3,1
APT3,Lotus japonicus,554,diploid,True,False,5,0,0.0,0,0,0,0,0,0,0
APT3,Lupinus angustifolius,924,diploid,True,False,4,0,0.0,0,0,0,0,0,0,0
APT3,Malus domestica,703,diploid,True,False,6,26,4.33,3,1,0,10,12,17,9
APT3,Manihot esculenta,750,diploid,True,False,5,7,1.4,3,0,2,0,2,7,0
APT3,Miscanthus sinensis,2080,diploid,True,False,2,1,0.5,0,0,0,0,1,1,0
APT3,Musa acuminata,523,diploid,True,False,1,2,2.0,0,1,0,0,1,2,0
APT3,Panicum miliaceum,835,diploid,True,False,2,2,1.0,2,0,0,0,0,2,0
APT3,Paspalum notatum,513,diploid,True,False,2,2,1.0,0,0,0,0,2,0,2
APT3,Phaseolus vulgaris,530,diploid,True,False,4,3,0.75,0,0,0,0,3,0,3
APT3,Pisum sativum,4450,diploid,True,False,5,1,0.2,0,0,0,0,1,0,1
APT3,Populus deltoides,425,diploid,True,False,6,15,2.5,0,0,0,2,13,5,10
APT3,Populus trichocarpa,480,diploid,True,False,6,21,3.5,0,0,0,1,20,5,16
APT3,Prunus persica,272,diploid,True,False,5,9,1.8,5,0,0,3,1,3,6
APT3,Rubus occidentalis,240,diploid,True,False,6,54,9.0,0,0,0,1,53,4,50
APT3,Setaria viridis,397,diploid,True,False,2,0,0.0,0,0,0,0,0,0,0
APT3,Solanum lycopersicum,824,diploid,True,False,6,1,0.17,0,0,0,0,1,1,0
APT3,Solanum tuberosum,1653,tetraploid,True,False,7,6,0.86,0,0,0,0,6,1,5
APT3,Sorghum bicolor,709,diploid,True,False,1,0,0.0,0,0,0,0,0,0,0
APT3,Spinacia oleracea,989,diploid,True,False,4,0,0.0,0,0,0,0,0,0,0
APT3,Thlaspi arvense,539,diploid,True,False,4,2,0.5,0,0,0,0,2,2,0
APT3,Vicia faba,11900,diploid,True,False,7,29,4.14,0,0,0,3,26,1,28
APT3,Vigna unguiculata,641,diploid,True,False,4,0,0.0,0,0,0,0,0,0,0
APT3,Vitis vinifera,486,diploid,True,False,6,11,1.83,0,0,0,1,10,7,4
APT3,Zea mays,2500,diploid,True,False,1,0,0.0,0,0,0,0,0,0,0
EF1a,Aegilops tauschii,4200,diploid,True,False,1,5,5.0,2,0,0,1,2,2,3
EF1a,Arabidopsis thaliana,135,diploid,True,False,1,2,2.0,2,0,0,0,0,2,0
EF1a,Asparagus officinalis,1200,diploid,True,False,1,0,0.0,0,0,0,0,0,0,0
EF1a,Beta vulgaris,558,diploid,True,False,2,9,4.5,2,4,0,0,3,8,1
EF1a,Brachypodium distachyon,355,diploid,True,False,1,5,5.0,5,0,0,0,0,5,0
EF1a,Brassica napus,976,tetraploid,True,False,1,11,11.0,9,2,0,0,0,11,0
EF1a,Brassica rapa,353,diploid,True,False,1,6,6.0,0,5,1,0,0,6,0
EF1a,Ceratopteris richardii,7400,diploid,True,False,3,47,15.67,0,4,10,6,27,11,36
EF1a,Chenopodium quinoa,1300,tetraploid,True,False,1,12,12.0,0,1,9,2,0,12,0
EF1a,Cicer arietinum,740,diploid,True,False,1,16,16.0,1,0,1,11,3,16,0
EF1a,Coffea canephora,569,diploid,True,False,1,2,2.0,1,1,0,0,0,2,0
EF1a,Corylus avellana,378,diploid,True,False,1,0,0.0,0,0,0,0,0,0,0
EF1a,Cucumis sativus,367,diploid,True,False,2,3,1.5,0,2,0,1,0,3,0
EF1a,Daucus carota,430,diploid,True,False,1,7,7.0,0,0,1,6,0,7,0
EF1a,Fragaria ananassa,806,octoploid,True,False,2,14,7.0,13,1,0,0,0,14,0
EF1a,Glycine max,1115,diploid,True,False,2,7,3.5,2,2,1,0,2,5,2
EF1a,Gossypium hirsutum,2300,tetraploid,True,False,1,28,28.0,6,13,5,0,4,17,11
EF1a,Helianthus annuus,3000,diploid,True,False,2,1,0.5,0,0,0,0,1,1,0
EF1a,Hordeum vulgare,5100,diploid,True,False,1,23,23.0,12,2,0,0,9,8,15
EF1a,Lactuca sativa,2600,diploid,True,False,4,21,5.25,0,1,2,2,16,2,19
EF1a,Lotus japonicus,554,diploid,True,False,1,2,2.0,0,1,1,0,0,2,0
EF1a,Malus domestica,703,diploid,True,False,1,5,5.0,5,0,0,0,0,5,0
EF1a,Manihot esculenta,750,diploid,True,False,1,6,6.0,0,0,3,2,1,3,3
EF1a,Miscanthus sinensis,2080,diploid,True,False,1,5,5.0,4,1,0,0,0,5,0
EF1a,Panicum miliaceum,835,diploid,True,False,1,13,13.0,10,1,1,0,1,8,5
EF1a,Paspalum notatum,513,diploid,True,False,1,6,6.0,3,3,0,0,0,6,0
EF1a,Phaseolus vulgaris,530,diploid,True,False,2,2,1.0,0,1,1,0,0,2,0
EF1a,Pisum sativum,4450,diploid,True,False,2,12,6.0,1,1,2,5,3,7,5
EF1a,Populus deltoides,425,diploid,True,False,1,9,9.0,1,7,1,0,0,9,0
EF1a,Populus trichocarpa,480,diploid,True,False,1,8,8.0,2,4,2,0,0,8,0
EF1a,Rubus occidentalis,240,diploid,True,False,1,8,8.0,2,1,2,2,1,5,3
EF1a,Solanum lycopersicum,824,diploid,True,False,1,4,4.0,0,0,4,0,0,4,0
EF1a,Solanum tuberosum,1653,tetraploid,True,False,1,5,5.0,0,4,0,1,0,5,0
EF1a,Spinacia oleracea,989,diploid,True,False,2,16,8.0,13,0,1,1,1,16,0
EF1a,Vicia faba,11900,diploid,True,False,1,8,8.0,3,0,0,0,5,6,2
EF1a,Vigna unguiculata,641,diploid,True,False,2,4,2.0,0,2,2,0,0,4,0
EF1a,Vitis vinifera,486,diploid,True,False,1,2,2.0,0,1,0,1,0,2,0
EF1a,Zea mays,2500,diploid,True,False,1,9,9.0,5,4,0,0,0,7,2
HSP70,Ceratopteris richardii,7400,diploid,True,False,2,261,130.5,0,0,7,29,225,15,246
HSP70,Chenopodium quinoa,1300,tetraploid,True,False,1,1,1.0,0,1,0,0,0,1,0
HSP70,Cicer arietinum,740,diploid,True,False,3,7,2.33,3,0,3,0,1,6,1
HSP70,Coffea canephora,569,diploid,True,False,3,5,1.67,0,0,0,0,5,3,2
HSP70,Cucumis sativus,367,diploid,True,False,3,6,2.0,0,0,0,1,5,3,3
HSP70,Daucus carota,430,diploid,True,False,2,4,2.0,0,1,3,0,0,4,0
HSP70,Eruca vesicaria,851,diploid,True,False,1,6,6.0,0,3,0,0,3,1,5
HSP70,Fragaria ananassa,806,octoploid,True,False,1,1,1.0,0,0,0,0,1,1,0
HSP70,Glycine max,1115,diploid,True,False,2,6,3.0,0,0,1,2,3,5,1
HSP70,Gossypium hirsutum,2300,tetraploid,True,False,4,92,23.0,3,2,4,8,75,48,44
HSP70,Helianthus annuus,3000,diploid,True,False,2,8,4.0,0,0,0,0,8,1,7
HSP70,Hordeum vulgare,5100,diploid,True,False,1,4,4.0,0,0,0,0,4,1,3
HSP70,Lotus japonicus,554,diploid,True,False,1,3,3.0,0,0,1,1,1,2,1
HSP70,Lupinus angustifolius,924,diploid,True,False,1,2,2.0,1,1,0,0,0,2,0
HSP70,Manihot esculenta,750,diploid,True,False,2,4,2.0,0,1,1,0,2,4,0
HSP70,Musa acuminata,523,diploid,True,False,2,1,0.5,0,0,0,0,1,0,1
HSP70,Paspalum notatum,513,diploid,True,False,1,1,1.0,0,0,0,0,1,1,0
HSP70,Phaseolus vulgaris,530,diploid,True,False,1,2,2.0,0,0,0,0,2,1,1
HSP70,Pisum sativum,4450,diploid,True,False,3,20,6.67,3,4,2,3,8,8,12
HSP70,Populus deltoides,425,diploid,True,False,1,2,2.0,0,0,0,0,2,2,0
HSP70,Populus trichocarpa,480,diploid,True,False,2,2,1.0,0,0,0,0,2,2,0
HSP70,Prunus persica,272,diploid,True,False,1,0,0.0,0,0,0,0,0,0,0
HSP70,Solanum lycopersicum,824,diploid,True,False,1,3,3.0,0,0,0,1,2,1,2
HSP70,Solanum tuberosum,1653,tetraploid,True,False,1,1,1.0,0,0,0,1,0,1,0
HSP70,Spinacia oleracea,989,diploid,True,False,3,2,0.67,0,0,0,0,2,1,1
HSP70,Vicia faba,11900,diploid,True,False,2,13,6.5,1,1,2,4,5,8,5
HSP70,Vigna unguiculata,641,diploid,True,False,2,1,0.5,0,0,0,0,1,1,0
HSP70,Vitis vinifera,486,diploid,True,False,1,1,1.0,0,0,0,0,1,0,1
TUBA1,Arabidopsis thaliana,135,diploid,True,False,2,0,0.0,0,0,0,0,0,0,0
TUBA1,Beta vulgaris,558,diploid,True,False,2,1,0.5,0,0,0,0,1,1,0
TUBA1,Brassica rapa,353,diploid,True,False,2,9,4.5,2,3,2,0,2,9,0
TUBA1,Camelina sativa,785,hexaploid,True,False,2,9,4.5,2,0,0,5,2,9,0
TUBA1,Ceratopteris richardii,7400,diploid,True,False,3,20,6.67,1,3,4,3,9,14,6
TUBA1,Chenopodium quinoa,1300,tetraploid,True,False,3,5,1.67,0,0,1,4,0,5,0
TUBA1,Cicer arietinum,740,diploid,True,False,3,4,1.33,0,0,0,2,2,3,1
TUBA1,Coffea canephora,569,diploid,True,False,1,2,2.0,0,0,0,2,0,2,0
TUBA1,Corylus avellana,378,diploid,True,False,3,3,1.0,0,0,1,0,2,2,1
TUBA1,Cucumis sativus,367,diploid,True,False,2,2,1.0,0,0,1,0,1,2,0
TUBA1,Daucus carota,430,diploid,True,False,1,5,5.0,0,1,1,1,2,5,0
TUBA1,Eleusine coracana,1100,tetraploid,True,False,1,0,0.0,0,0,0,0,0,0,0
TUBA1,Eruca vesicaria,851,diploid,True,False,2,4,2.0,1,0,2,0,1,0,4
TUBA1,Glycine max,1115,diploid,True,False,2,12,6.0,1,1,2,4,4,9,3
TUBA1,Gossypium hirsutum,2300,tetraploid,True,False,1,3,3.0,1,0,0,0,2,3,0
TUBA1,Helianthus annuus,3000,diploid,True,False,2,17,8.5,0,2,1,4,10,13,4
TUBA1,Lactuca sativa,2600,diploid,True,False,3,24,8.0,2,7,3,3,9,17,7
TUBA1,Lotus japonicus,554,diploid,True,False,2,2,1.0,0,0,1,1,0,2,0
TUBA1,Lupinus angustifolius,924,diploid,True,False,1,1,1.0,0,0,1,0,0,1,0
TUBA1,Malus domestica,703,diploid,True,False,2,4,2.0,0,1,1,0,2,4,0
TUBA1,Manihot esculenta,750,diploid,True,False,2,9,4.5,1,1,2,0,5,9,0
TUBA1,Phaseolus vulgaris,530,diploid,True,False,1,5,5.0,0,0,0,3,2,5,0
TUBA1,Pisum sativum,4450,diploid,True,False,3,13,4.33,0,1,1,1,10,3,10
TUBA1,Populus deltoides,425,diploid,True,False,1,10,10.0,0,2,4,2,2,9,1
TUBA1,Populus trichocarpa,480,diploid,True,False,1,5,5.0,0,1,1,2,1,5,0
TUBA1,Prunus persica,272,diploid,True,False,2,2,1.0,0,0,1,0,1,2,0
TUBA1,Rubus occidentalis,240,diploid,True,False,1,3,3.0,0,0,0,2,1,3,0
TUBA1,Setaria viridis,397,diploid,True,False,1,1,1.0,0,0,0,0,1,0,1
TUBA1,Solanum lycopersicum,824,diploid,True,False,3,6,2.0,0,0,1,2,3,6,0
TUBA1,Solanum tuberosum,1653,tetraploid,True,False,3,2,0.67,0,0,2,0,0,2,0
TUBA1,Spinacia oleracea,989,diploid,True,False,3,2,0.67,0,0,1,1,0,2,0
TUBA1,Thlaspi arvense,539,diploid,True,False,2,3,1.5,1,1,0,0,1,3,0
TUBA1,Vicia faba,11900,diploid,True,False,3,21,7.0,0,0,2,4,15,5,16
TUBA1,Vigna unguiculata,641,diploid,True,False,1,4,4.0,0,0,2,1,1,4,0
TUBA1,Vitis vinifera,486,diploid,True,False,2,3,1.5,0,0,1,1,1,3,0
Histone H4,Arabidopsis thaliana,135,diploid,True,False,1,2,2.0,0,1,0,1,0,2,0
Histone H4,Beta vulgaris,558,diploid,True,False,2,16,8.0,3,2,4,0,7,11,5
Histone H4,Brassica napus,976,tetraploid,True,False,1,13,13.0,0,1,0,3,9,13,0
Histone H4,Brassica rapa,353,diploid,True,False,1,5,5.0,1,1,0,0,3,5,0
Histone H4,Camelina sativa,785,hexaploid,True,False,1,11,11.0,3,2,4,2,0,11,0
Histone H4,Ceratopteris richardii,7400,diploid,True,False,2,19,9.5,0,1,1,8,9,12,7
Histone H4,Cicer arietinum,740,diploid,True,False,2,4,2.0,0,2,1,0,1,3,1
Histone H4,Cucumis sativus,367,diploid,True,False,1,0,0.0,0,0,0,0,0,0,0
Histone H4,Daucus carota,430,diploid,True,False,1,5,5.0,1,4,0,0,0,5,0
Histone H4,Eruca vesicaria,851,diploid,True,False,1,5,5.0,0,0,2,2,1,2,3
Histone H4,Fragaria ananassa,806,octoploid,True,False,1,11,11.0,1,2,8,0,0,11,0
Histone H4,Helianthus annuus,3000,diploid,True,False,2,25,12.5,4,4,4,8,5,22,3
Histone H4,Lactuca sativa,2600,diploid,True,False,2,30,15.0,4,0,9,12,5,28,2
Histone H4,Malus domestica,703,diploid,True,False,1,0,0.0,0,0,0,0,0,0,0
Histone H4,Pisum sativum,4450,diploid,True,False,1,7,7.0,0,0,0,1,6,7,0
Histone H4,Rubus occidentalis,240,diploid,True,False,1,7,7.0,2,2,1,1,1,1,6
Histone H4,Solanum lycopersicum,824,diploid,True,False,1,13,13.0,2,5,2,2,2,12,1
Histone H4,Spinacia oleracea,989,diploid,True,False,1,5,5.0,3,0,2,0,0,5,0
Histone H4,Thlaspi arvense,539,diploid,True,False,1,2,2.0,0,0,2,0,0,0,2
Histone H4,Vicia faba,11900,diploid,True,False,1,25,25.0,5,4,7,5,4,16,9
Histone H4,Vigna unguiculata,641,diploid,True,False,2,1,0.5,1,0,0,0,0,1,0
EF-Tu,Aegilops tauschii,4200,diploid,True,False,1,2,2.0,0,2,0,0,0,2,0
EF-Tu,Arabidopsis thaliana,135,diploid,True,False,3,0,0.0,0,0,0,0,0,0,0
EF-Tu,Asparagus officinalis,1200,diploid,True,False,3,2,0.67,0,0,1,1,0,2,0
EF-Tu,Beta vulgaris,558,diploid,True,False,2,1,0.5,0,0,0,0,1,1,0
EF-Tu,Brachypodium distachyon,355,diploid,True,False,2,0,0.0,0,0,0,0,0,0,0
EF-Tu,Brassica napus,976,tetraploid,True,False,3,15,5.0,8,5,0,2,0,15,0
EF-Tu,Brassica rapa,353,diploid,True,False,3,1,0.33,0,1,0,0,0,1,0
EF-Tu,Camelina sativa,785,hexaploid,True,False,3,14,4.67,3,3,2,2,4,14,0
EF-Tu,Ceratopteris richardii,7400,diploid,True,False,3,18,6.0,0,0,0,3,15,0,18
EF-Tu,Chenopodium quinoa,1300,tetraploid,True,False,1,0,0.0,0,0,0,0,0,0,0
EF-Tu,Cicer arietinum,740,diploid,True,False,2,1,0.5,0,0,0,0,1,1,0
EF-Tu,Coffea canephora,569,diploid,True,False,2,2,1.0,0,0,0,1,1,2,0
EF-Tu,Corylus avellana,378,diploid,True,False,1,0,0.0,0,0,0,0,0,0,0
EF-Tu,Cucumis sativus,367,diploid,True,False,2,1,0.5,0,0,0,1,0,0,1
EF-Tu,Daucus carota,430,diploid,True,False,3,8,2.67,0,0,1,2,5,6,2
EF-Tu,Eleusine coracana,1100,tetraploid,True,False,2,2,1.0,2,0,0,0,0,2,0
EF-Tu,Eruca vesicaria,851,diploid,True,False,3,6,2.0,2,2,1,0,1,3,3
EF-Tu,Fragaria ananassa,806,octoploid,True,False,3,10,3.33,8,1,0,0,1,10,0
EF-Tu,Glycine max,1115,diploid,True,False,2,5,2.5,1,1,0,2,1,4,1
EF-Tu,Gossypium hirsutum,2300,tetraploid,True,False,3,7,2.33,1,0,1,0,5,3,4
EF-Tu,Helianthus annuus,3000,diploid,True,False,2,6,3.0,0,0,0,5,1,3,3
EF-Tu,Hordeum vulgare,5100,diploid,True,False,1,0,0.0,0,0,0,0,0,0,0
EF-Tu,Lactuca sativa,2600,diploid,True,False,3,5,1.67,1,1,1,0,2,0,5
EF-Tu,Lotus japonicus,554,diploid,True,False,3,3,1.0,1,0,0,1,1,2,1
EF-Tu,Lupinus angustifolius,924,diploid,True,False,3,7,2.33,1,0,0,1,5,4,3
EF-Tu,Malus domestica,703,diploid,True,False,3,5,1.67,2,0,0,1,2,3,2
EF-Tu,Manihot esculenta,750,diploid,True,False,1,3,3.0,1,0,0,0,2,3,0
EF-Tu,Miscanthus sinensis,2080,diploid,True,False,2,2,1.0,2,0,0,0,0,2,0
EF-Tu,Musa acuminata,523,diploid,True,False,3,4,1.33,0,1,2,0,1,3,1
EF-Tu,Panicum miliaceum,835,diploid,True,False,2,2,1.0,2,0,0,0,0,2,0
EF-Tu,Paspalum notatum,513,diploid,True,False,2,1,0.5,0,0,0,0,1,1,0
EF-Tu,Phaseolus vulgaris,530,diploid,True,False,2,1,0.5,0,0,0,1,0,1,0
EF-Tu,Pisum sativum,4450,diploid,True,False,3,21,7.0,0,0,0,1,20,2,19
EF-Tu,Populus deltoides,425,diploid,True,False,2,2,1.0,2,0,0,0,0,2,0
EF-Tu,Populus trichocarpa,480,diploid,True,False,2,2,1.0,2,0,0,0,0,2,0
EF-Tu,Prunus persica,272,diploid,True,False,3,1,0.33,0,0,0,0,1,1,0
EF-Tu,Rubus occidentalis,240,diploid,True,False,3,0,0.0,0,0,0,0,0,0,0
EF-Tu,Setaria viridis,397,diploid,True,False,2,0,0.0,0,0,0,0,0,0,0
EF-Tu,Solanum lycopersicum,824,diploid,True,False,2,1,0.5,0,0,0,1,0,1,0
EF-Tu,Solanum tuberosum,1653,tetraploid,True,False,2,2,1.0,0,0,0,0,2,1,1
EF-Tu,Sorghum bicolor,709,diploid,True,False,2,0,0.0,0,0,0,0,0,0,0
EF-Tu,Spinacia oleracea,989,diploid,True,False,1,0,0.0,0,0,0,0,0,0,0
EF-Tu,Thlaspi arvense,539,diploid,True,False,3,3,1.0,0,1,1,0,1,2,1
EF-Tu,Vicia faba,11900,diploid,True,False,3,34,11.33,0,0,0,2,32,2,32
EF-Tu,Vigna unguiculata,641,diploid,True,False,2,3,1.5,2,0,0,0,1,3,0
EF-Tu,Vitis vinifera,486,diploid,True,False,2,2,1.0,1,0,1,0,0,0,2
EF-Tu,Zea mays,2500,diploid,True,False,2,12,6.0,4,2,6,0,0,10,2
RPB2,Aegilops tauschii,4200,diploid,True,False,2,2,1.0,0,0,1,0,1,1,1
RPB2,Arabidopsis thaliana,135,diploid,True,False,2,0,0.0,0,0,0,0,0,0,0
RPB2,Asparagus officinalis,1200,diploid,True,False,2,2,1.0,0,0,0,0,2,2,0
RPB2,Beta vulgaris,558,diploid,True,False,2,0,0.0,0,0,0,0,0,0,0
RPB2,Brachypodium distachyon,355,diploid,True,False,3,0,0.0,0,0,0,0,0,0,0
RPB2,Brassica napus,976,tetraploid,True,False,2,2,1.0,0,2,0,0,0,2,0
RPB2,Brassica rapa,353,diploid,True,False,2,0,0.0,0,0,0,0,0,0,0
RPB2,Camelina sativa,785,hexaploid,True,False,2,7,3.5,1,3,0,0,3,6,1
RPB2,Ceratopteris richardii,7400,diploid,True,False,3,33,11.0,0,0,0,1,32,0,33
RPB2,Chenopodium quinoa,1300,tetraploid,True,False,2,2,1.0,1,1,0,0,0,2,0
RPB2,Cicer arietinum,740,diploid,True,False,2,4,2.0,2,1,0,0,1,4,0
RPB2,Corylus avellana,378,diploid,True,False,3,0,0.0,0,0,0,0,0,0,0
RPB2,Cucumis sativus,367,diploid,True,False,2,0,0.0,0,0,0,0,0,0,0
RPB2,Daucus carota,430,diploid,True,False,2,0,0.0,0,0,0,0,0,0,0
RPB2,Eleusine coracana,1100,tetraploid,True,False,2,6,3.0,6,0,0,0,0,6,0
RPB2,Eruca vesicaria,851,diploid,True,False,2,0,0.0,0,0,0,0,0,0,0
RPB2,Fragaria ananassa,806,octoploid,True,False,2,12,6.0,11,1,0,0,0,12,0
RPB2,Glycine max,1115,diploid,True,False,2,2,1.0,0,1,1,0,0,2,0
RPB2,Helianthus annuus,3000,diploid,True,False,1,1,1.0,1,0,0,0,0,0,1
RPB2,Hordeum vulgare,5100,diploid,True,False,2,1,0.5,0,0,0,0,1,0,1
RPB2,Lactuca sativa,2600,diploid,True,False,1,0,0.0,0,0,0,0,0,0,0
RPB2,Lotus japonicus,554,diploid,True,False,2,1,0.5,0,0,0,0,1,1,0
RPB2,Lupinus angustifolius,924,diploid,True,False,1,0,0.0,0,0,0,0,0,0,0
RPB2,Malus domestica,703,diploid,True,False,2,1,0.5,0,0,0,0,1,0,1
RPB2,Manihot esculenta,750,diploid,True,False,1,0,0.0,0,0,0,0,0,0,0
RPB2,Miscanthus sinensis,2080,diploid,True,False,2,4,2.0,2,0,0,0,2,2,2
RPB2,Musa acuminata,523,diploid,True,False,1,0,0.0,0,0,0,0,0,0,0
RPB2,Panicum miliaceum,835,diploid,True,False,2,2,1.0,2,0,0,0,0,2,0
RPB2,Paspalum notatum,513,diploid,True,False,2,0,0.0,0,0,0,0,0,0,0
RPB2,Phaseolus vulgaris,530,diploid,True,False,3,0,0.0,0,0,0,0,0,0,0
RPB2,Pisum sativum,4450,diploid,True,False,3,10,3.33,0,0,0,0,10,0,10
RPB2,Populus deltoides,425,diploid,True,False,2,0,0.0,0,0,0,0,0,0,0
RPB2,Populus trichocarpa,480,diploid,True,False,2,0,0.0,0,0,0,0,0,0,0
RPB2,Prunus persica,272,diploid,True,False,2,6,3.0,3,0,2,1,0,4,2
RPB2,Rubus occidentalis,240,diploid,True,False,2,0,0.0,0,0,0,0,0,0,0
RPB2,Setaria viridis,397,diploid,True,False,2,0,0.0,0,0,0,0,0,0,0
RPB2,Solanum lycopersicum,824,diploid,True,False,1,0,0.0,0,0,0,0,0,0,0
